dataset,model,round,test_error
breast_cancer,adaboost_samme,1,0.07894736842105263
breast_cancer,adaboost_samme,2,0.07894736842105263
breast_cancer,adaboost_samme,3,0.05263157894736842
breast_cancer,adaboost_samme,4,0.06140350877192982
breast_cancer,adaboost_samme,5,0.07017543859649122
breast_cancer,adaboost_samme,6,0.05263157894736842
breast_cancer,adaboost_samme,7,0.06140350877192982
breast_cancer,adaboost_samme,8,0.043859649122807015
breast_cancer,adaboost_samme,9,0.043859649122807015
breast_cancer,adaboost_samme,10,0.03508771929824561
breast_cancer,adaboost_samme,11,0.043859649122807015
breast_cancer,adaboost_samme,12,0.03508771929824561
breast_cancer,adaboost_samme,13,0.043859649122807015
breast_cancer,adaboost_samme,14,0.043859649122807015
breast_cancer,adaboost_samme,15,0.043859649122807015
breast_cancer,adaboost_samme,16,0.06140350877192982
breast_cancer,adaboost_samme,17,0.043859649122807015
breast_cancer,adaboost_samme,18,0.06140350877192982
breast_cancer,adaboost_samme,19,0.06140350877192982
breast_cancer,adaboost_samme,20,0.043859649122807015
breast_cancer,adaboost_samme,21,0.043859649122807015
breast_cancer,adaboost_samme,22,0.06140350877192982
breast_cancer,adaboost_samme,23,0.043859649122807015
breast_cancer,adaboost_samme,24,0.06140350877192982
breast_cancer,adaboost_samme,25,0.05263157894736842
breast_cancer,adaboost_samme,26,0.043859649122807015
breast_cancer,adaboost_samme,27,0.043859649122807015
breast_cancer,adaboost_samme,28,0.05263157894736842
breast_cancer,adaboost_samme,29,0.043859649122807015
breast_cancer,adaboost_samme,30,0.05263157894736842
breast_cancer,adaboost_samme,31,0.043859649122807015
breast_cancer,adaboost_samme,32,0.043859649122807015
breast_cancer,adaboost_samme,33,0.043859649122807015
breast_cancer,adaboost_samme,34,0.043859649122807015
breast_cancer,adaboost_samme,35,0.043859649122807015
breast_cancer,adaboost_samme,36,0.043859649122807015
breast_cancer,adaboost_samme,37,0.043859649122807015
breast_cancer,adaboost_samme,38,0.043859649122807015
breast_cancer,adaboost_samme,39,0.043859649122807015
breast_cancer,adaboost_samme,40,0.043859649122807015
breast_cancer,adaboost_samme,41,0.043859649122807015
breast_cancer,adaboost_samme,42,0.043859649122807015
breast_cancer,adaboost_samme,43,0.043859649122807015
breast_cancer,adaboost_samme,44,0.043859649122807015
breast_cancer,adaboost_samme,45,0.043859649122807015
breast_cancer,adaboost_samme,46,0.043859649122807015
breast_cancer,adaboost_samme,47,0.043859649122807015
breast_cancer,adaboost_samme,48,0.043859649122807015
breast_cancer,adaboost_samme,49,0.043859649122807015
breast_cancer,adaboost_samme,50,0.043859649122807015
breast_cancer,adaboost_samme,51,0.043859649122807015
breast_cancer,adaboost_samme,52,0.043859649122807015
breast_cancer,adaboost_samme,53,0.043859649122807015
breast_cancer,adaboost_samme,54,0.043859649122807015
breast_cancer,adaboost_samme,55,0.043859649122807015
breast_cancer,adaboost_samme,56,0.043859649122807015
breast_cancer,adaboost_samme,57,0.043859649122807015
breast_cancer,adaboost_samme,58,0.043859649122807015
breast_cancer,adaboost_samme,59,0.043859649122807015
breast_cancer,adaboost_samme,60,0.043859649122807015
breast_cancer,adaboost_samme,61,0.043859649122807015
breast_cancer,adaboost_samme,62,0.043859649122807015
breast_cancer,adaboost_samme,63,0.043859649122807015
breast_cancer,adaboost_samme,64,0.043859649122807015
breast_cancer,adaboost_samme,65,0.043859649122807015
breast_cancer,adaboost_samme,66,0.043859649122807015
breast_cancer,adaboost_samme,67,0.043859649122807015
breast_cancer,adaboost_samme,68,0.043859649122807015
breast_cancer,adaboost_samme,69,0.043859649122807015
breast_cancer,adaboost_samme,70,0.043859649122807015
breast_cancer,adaboost_samme,71,0.043859649122807015
breast_cancer,adaboost_samme,72,0.043859649122807015
breast_cancer,adaboost_samme,73,0.043859649122807015
breast_cancer,adaboost_samme,74,0.043859649122807015
breast_cancer,adaboost_samme,75,0.043859649122807015
breast_cancer,adaboost_samme,76,0.043859649122807015
breast_cancer,adaboost_samme,77,0.043859649122807015
breast_cancer,adaboost_samme,78,0.043859649122807015
breast_cancer,adaboost_samme,79,0.043859649122807015
breast_cancer,adaboost_samme,80,0.043859649122807015
breast_cancer,adaboost_samme,81,0.043859649122807015
breast_cancer,adaboost_samme,82,0.043859649122807015
breast_cancer,adaboost_samme,83,0.043859649122807015
breast_cancer,adaboost_samme,84,0.043859649122807015
breast_cancer,adaboost_samme,85,0.043859649122807015
breast_cancer,adaboost_samme,86,0.043859649122807015
breast_cancer,adaboost_samme,87,0.043859649122807015
breast_cancer,adaboost_samme,88,0.043859649122807015
breast_cancer,adaboost_samme,89,0.043859649122807015
breast_cancer,adaboost_samme,90,0.043859649122807015
breast_cancer,adaboost_samme,91,0.043859649122807015
breast_cancer,adaboost_samme,92,0.043859649122807015
breast_cancer,adaboost_samme,93,0.043859649122807015
breast_cancer,adaboost_samme,94,0.043859649122807015
breast_cancer,adaboost_samme,95,0.043859649122807015
breast_cancer,adaboost_samme,96,0.043859649122807015
breast_cancer,adaboost_samme,97,0.043859649122807015
breast_cancer,adaboost_samme,98,0.043859649122807015
breast_cancer,adaboost_samme,99,0.043859649122807015
breast_cancer,adaboost_samme,100,0.043859649122807015
breast_cancer,adaboost_samme,101,0.043859649122807015
breast_cancer,adaboost_samme,102,0.043859649122807015
breast_cancer,adaboost_samme,103,0.043859649122807015
breast_cancer,adaboost_samme,104,0.043859649122807015
breast_cancer,adaboost_samme,105,0.043859649122807015
breast_cancer,adaboost_samme,106,0.043859649122807015
breast_cancer,adaboost_samme,107,0.043859649122807015
breast_cancer,adaboost_samme,108,0.043859649122807015
breast_cancer,adaboost_samme,109,0.043859649122807015
breast_cancer,adaboost_samme,110,0.043859649122807015
breast_cancer,adaboost_samme,111,0.043859649122807015
breast_cancer,adaboost_samme,112,0.043859649122807015
breast_cancer,adaboost_samme,113,0.043859649122807015
breast_cancer,adaboost_samme,114,0.043859649122807015
breast_cancer,adaboost_samme,115,0.043859649122807015
breast_cancer,adaboost_samme,116,0.043859649122807015
breast_cancer,adaboost_samme,117,0.043859649122807015
breast_cancer,adaboost_samme,118,0.043859649122807015
breast_cancer,adaboost_samme,119,0.043859649122807015
breast_cancer,adaboost_samme,120,0.043859649122807015
breast_cancer,adaboost_samme,121,0.043859649122807015
breast_cancer,adaboost_samme,122,0.043859649122807015
breast_cancer,adaboost_samme,123,0.043859649122807015
breast_cancer,adaboost_samme,124,0.03508771929824561
breast_cancer,adaboost_samme,125,0.043859649122807015
breast_cancer,adaboost_samme,126,0.03508771929824561
breast_cancer,adaboost_samme,127,0.03508771929824561
breast_cancer,adaboost_samme,128,0.03508771929824561
breast_cancer,adaboost_samme,129,0.03508771929824561
breast_cancer,adaboost_samme,130,0.03508771929824561
breast_cancer,adaboost_samme,131,0.03508771929824561
breast_cancer,adaboost_samme,132,0.03508771929824561
breast_cancer,adaboost_samme,133,0.03508771929824561
breast_cancer,adaboost_samme,134,0.03508771929824561
breast_cancer,adaboost_samme,135,0.03508771929824561
breast_cancer,adaboost_samme,136,0.03508771929824561
breast_cancer,adaboost_samme,137,0.03508771929824561
breast_cancer,adaboost_samme,138,0.03508771929824561
breast_cancer,adaboost_samme,139,0.03508771929824561
breast_cancer,adaboost_samme,140,0.03508771929824561
breast_cancer,adaboost_samme,141,0.03508771929824561
breast_cancer,adaboost_samme,142,0.03508771929824561
breast_cancer,adaboost_samme,143,0.03508771929824561
breast_cancer,adaboost_samme,144,0.03508771929824561
breast_cancer,adaboost_samme,145,0.03508771929824561
breast_cancer,adaboost_samme,146,0.03508771929824561
breast_cancer,adaboost_samme,147,0.03508771929824561
breast_cancer,adaboost_samme,148,0.03508771929824561
breast_cancer,adaboost_samme,149,0.03508771929824561
breast_cancer,adaboost_samme,150,0.03508771929824561
breast_cancer,adaboost_samme,151,0.03508771929824561
breast_cancer,adaboost_samme,152,0.03508771929824561
breast_cancer,adaboost_samme,153,0.03508771929824561
breast_cancer,adaboost_samme,154,0.03508771929824561
breast_cancer,adaboost_samme,155,0.03508771929824561
breast_cancer,adaboost_samme,156,0.03508771929824561
breast_cancer,adaboost_samme,157,0.03508771929824561
breast_cancer,adaboost_samme,158,0.03508771929824561
breast_cancer,adaboost_samme,159,0.03508771929824561
breast_cancer,adaboost_samme,160,0.03508771929824561
breast_cancer,adaboost_samme,161,0.03508771929824561
breast_cancer,adaboost_samme,162,0.03508771929824561
breast_cancer,adaboost_samme,163,0.03508771929824561
breast_cancer,adaboost_samme,164,0.03508771929824561
breast_cancer,adaboost_samme,165,0.03508771929824561
breast_cancer,adaboost_samme,166,0.03508771929824561
breast_cancer,adaboost_samme,167,0.03508771929824561
breast_cancer,adaboost_samme,168,0.03508771929824561
breast_cancer,adaboost_samme,169,0.03508771929824561
breast_cancer,adaboost_samme,170,0.03508771929824561
breast_cancer,adaboost_samme,171,0.03508771929824561
breast_cancer,adaboost_samme,172,0.03508771929824561
breast_cancer,adaboost_samme,173,0.03508771929824561
breast_cancer,adaboost_samme,174,0.03508771929824561
breast_cancer,adaboost_samme,175,0.03508771929824561
breast_cancer,adaboost_samme,176,0.03508771929824561
breast_cancer,adaboost_samme,177,0.03508771929824561
breast_cancer,adaboost_samme,178,0.03508771929824561
breast_cancer,adaboost_samme,179,0.03508771929824561
breast_cancer,adaboost_samme,180,0.03508771929824561
breast_cancer,adaboost_samme,181,0.03508771929824561
breast_cancer,adaboost_samme,182,0.03508771929824561
breast_cancer,adaboost_samme,183,0.03508771929824561
breast_cancer,adaboost_samme,184,0.03508771929824561
breast_cancer,adaboost_samme,185,0.03508771929824561
breast_cancer,adaboost_samme,186,0.03508771929824561
breast_cancer,adaboost_samme,187,0.03508771929824561
breast_cancer,adaboost_samme,188,0.03508771929824561
breast_cancer,adaboost_samme,189,0.03508771929824561
breast_cancer,adaboost_samme,190,0.03508771929824561
breast_cancer,adaboost_samme,191,0.03508771929824561
breast_cancer,adaboost_samme,192,0.03508771929824561
breast_cancer,adaboost_samme,193,0.03508771929824561
breast_cancer,adaboost_samme,194,0.03508771929824561
breast_cancer,adaboost_samme,195,0.03508771929824561
breast_cancer,adaboost_samme,196,0.03508771929824561
breast_cancer,adaboost_samme,197,0.03508771929824561
breast_cancer,adaboost_samme,198,0.03508771929824561
breast_cancer,adaboost_samme,199,0.03508771929824561
breast_cancer,adaboost_samme,200,0.03508771929824561
breast_cancer,adaboost_samme_r,1,0.07894736842105263
breast_cancer,adaboost_samme_r,2,0.07017543859649122
breast_cancer,adaboost_samme_r,3,0.07017543859649122
breast_cancer,adaboost_samme_r,4,0.043859649122807015
breast_cancer,adaboost_samme_r,5,0.06140350877192982
breast_cancer,adaboost_samme_r,6,0.043859649122807015
breast_cancer,adaboost_samme_r,7,0.043859649122807015
breast_cancer,adaboost_samme_r,8,0.043859649122807015
breast_cancer,adaboost_samme_r,9,0.043859649122807015
breast_cancer,adaboost_samme_r,10,0.043859649122807015
breast_cancer,adaboost_samme_r,11,0.043859649122807015
breast_cancer,adaboost_samme_r,12,0.043859649122807015
breast_cancer,adaboost_samme_r,13,0.043859649122807015
breast_cancer,adaboost_samme_r,14,0.043859649122807015
breast_cancer,adaboost_samme_r,15,0.043859649122807015
breast_cancer,adaboost_samme_r,16,0.043859649122807015
breast_cancer,adaboost_samme_r,17,0.043859649122807015
breast_cancer,adaboost_samme_r,18,0.043859649122807015
breast_cancer,adaboost_samme_r,19,0.043859649122807015
breast_cancer,adaboost_samme_r,20,0.043859649122807015
breast_cancer,adaboost_samme_r,21,0.043859649122807015
breast_cancer,adaboost_samme_r,22,0.05263157894736842
breast_cancer,adaboost_samme_r,23,0.043859649122807015
breast_cancer,adaboost_samme_r,24,0.043859649122807015
breast_cancer,adaboost_samme_r,25,0.043859649122807015
breast_cancer,adaboost_samme_r,26,0.043859649122807015
breast_cancer,adaboost_samme_r,27,0.043859649122807015
breast_cancer,adaboost_samme_r,28,0.043859649122807015
breast_cancer,adaboost_samme_r,29,0.043859649122807015
breast_cancer,adaboost_samme_r,30,0.043859649122807015
breast_cancer,adaboost_samme_r,31,0.043859649122807015
breast_cancer,adaboost_samme_r,32,0.043859649122807015
breast_cancer,adaboost_samme_r,33,0.043859649122807015
breast_cancer,adaboost_samme_r,34,0.043859649122807015
breast_cancer,adaboost_samme_r,35,0.043859649122807015
breast_cancer,adaboost_samme_r,36,0.043859649122807015
breast_cancer,adaboost_samme_r,37,0.043859649122807015
breast_cancer,adaboost_samme_r,38,0.043859649122807015
breast_cancer,adaboost_samme_r,39,0.043859649122807015
breast_cancer,adaboost_samme_r,40,0.05263157894736842
breast_cancer,adaboost_samme_r,41,0.043859649122807015
breast_cancer,adaboost_samme_r,42,0.05263157894736842
breast_cancer,adaboost_samme_r,43,0.043859649122807015
breast_cancer,adaboost_samme_r,44,0.043859649122807015
breast_cancer,adaboost_samme_r,45,0.043859649122807015
breast_cancer,adaboost_samme_r,46,0.043859649122807015
breast_cancer,adaboost_samme_r,47,0.05263157894736842
breast_cancer,adaboost_samme_r,48,0.05263157894736842
breast_cancer,adaboost_samme_r,49,0.05263157894736842
breast_cancer,adaboost_samme_r,50,0.05263157894736842
breast_cancer,adaboost_samme_r,51,0.043859649122807015
breast_cancer,adaboost_samme_r,52,0.043859649122807015
breast_cancer,adaboost_samme_r,53,0.043859649122807015
breast_cancer,adaboost_samme_r,54,0.043859649122807015
breast_cancer,adaboost_samme_r,55,0.043859649122807015
breast_cancer,adaboost_samme_r,56,0.043859649122807015
breast_cancer,adaboost_samme_r,57,0.043859649122807015
breast_cancer,adaboost_samme_r,58,0.043859649122807015
breast_cancer,adaboost_samme_r,59,0.043859649122807015
breast_cancer,adaboost_samme_r,60,0.043859649122807015
breast_cancer,adaboost_samme_r,61,0.043859649122807015
breast_cancer,adaboost_samme_r,62,0.043859649122807015
breast_cancer,adaboost_samme_r,63,0.043859649122807015
breast_cancer,adaboost_samme_r,64,0.043859649122807015
breast_cancer,adaboost_samme_r,65,0.043859649122807015
breast_cancer,adaboost_samme_r,66,0.043859649122807015
breast_cancer,adaboost_samme_r,67,0.043859649122807015
breast_cancer,adaboost_samme_r,68,0.043859649122807015
breast_cancer,adaboost_samme_r,69,0.043859649122807015
breast_cancer,adaboost_samme_r,70,0.05263157894736842
breast_cancer,adaboost_samme_r,71,0.043859649122807015
breast_cancer,adaboost_samme_r,72,0.043859649122807015
breast_cancer,adaboost_samme_r,73,0.05263157894736842
breast_cancer,adaboost_samme_r,74,0.043859649122807015
breast_cancer,adaboost_samme_r,75,0.043859649122807015
breast_cancer,adaboost_samme_r,76,0.05263157894736842
breast_cancer,adaboost_samme_r,77,0.043859649122807015
breast_cancer,adaboost_samme_r,78,0.043859649122807015
breast_cancer,adaboost_samme_r,79,0.05263157894736842
breast_cancer,adaboost_samme_r,80,0.05263157894736842
breast_cancer,adaboost_samme_r,81,0.05263157894736842
breast_cancer,adaboost_samme_r,82,0.05263157894736842
breast_cancer,adaboost_samme_r,83,0.05263157894736842
breast_cancer,adaboost_samme_r,84,0.05263157894736842
breast_cancer,adaboost_samme_r,85,0.05263157894736842
breast_cancer,adaboost_samme_r,86,0.05263157894736842
breast_cancer,adaboost_samme_r,87,0.043859649122807015
breast_cancer,adaboost_samme_r,88,0.043859649122807015
breast_cancer,adaboost_samme_r,89,0.043859649122807015
breast_cancer,adaboost_samme_r,90,0.043859649122807015
breast_cancer,adaboost_samme_r,91,0.043859649122807015
breast_cancer,adaboost_samme_r,92,0.043859649122807015
breast_cancer,adaboost_samme_r,93,0.043859649122807015
breast_cancer,adaboost_samme_r,94,0.043859649122807015
breast_cancer,adaboost_samme_r,95,0.043859649122807015
breast_cancer,adaboost_samme_r,96,0.043859649122807015
breast_cancer,adaboost_samme_r,97,0.043859649122807015
breast_cancer,adaboost_samme_r,98,0.043859649122807015
breast_cancer,adaboost_samme_r,99,0.043859649122807015
breast_cancer,adaboost_samme_r,100,0.043859649122807015
breast_cancer,adaboost_samme_r,101,0.043859649122807015
breast_cancer,adaboost_samme_r,102,0.043859649122807015
breast_cancer,adaboost_samme_r,103,0.043859649122807015
breast_cancer,adaboost_samme_r,104,0.043859649122807015
breast_cancer,adaboost_samme_r,105,0.043859649122807015
breast_cancer,adaboost_samme_r,106,0.043859649122807015
breast_cancer,adaboost_samme_r,107,0.043859649122807015
breast_cancer,adaboost_samme_r,108,0.043859649122807015
breast_cancer,adaboost_samme_r,109,0.043859649122807015
breast_cancer,adaboost_samme_r,110,0.043859649122807015
breast_cancer,adaboost_samme_r,111,0.043859649122807015
breast_cancer,adaboost_samme_r,112,0.043859649122807015
breast_cancer,adaboost_samme_r,113,0.043859649122807015
breast_cancer,adaboost_samme_r,114,0.043859649122807015
breast_cancer,adaboost_samme_r,115,0.043859649122807015
breast_cancer,adaboost_samme_r,116,0.043859649122807015
breast_cancer,adaboost_samme_r,117,0.043859649122807015
breast_cancer,adaboost_samme_r,118,0.043859649122807015
breast_cancer,adaboost_samme_r,119,0.043859649122807015
breast_cancer,adaboost_samme_r,120,0.043859649122807015
breast_cancer,adaboost_samme_r,121,0.043859649122807015
breast_cancer,adaboost_samme_r,122,0.043859649122807015
breast_cancer,adaboost_samme_r,123,0.043859649122807015
breast_cancer,adaboost_samme_r,124,0.043859649122807015
breast_cancer,adaboost_samme_r,125,0.043859649122807015
breast_cancer,adaboost_samme_r,126,0.043859649122807015
breast_cancer,adaboost_samme_r,127,0.043859649122807015
breast_cancer,adaboost_samme_r,128,0.043859649122807015
breast_cancer,adaboost_samme_r,129,0.043859649122807015
breast_cancer,adaboost_samme_r,130,0.043859649122807015
breast_cancer,adaboost_samme_r,131,0.043859649122807015
breast_cancer,adaboost_samme_r,132,0.043859649122807015
breast_cancer,adaboost_samme_r,133,0.043859649122807015
breast_cancer,adaboost_samme_r,134,0.043859649122807015
breast_cancer,adaboost_samme_r,135,0.043859649122807015
breast_cancer,adaboost_samme_r,136,0.043859649122807015
breast_cancer,adaboost_samme_r,137,0.03508771929824561
breast_cancer,adaboost_samme_r,138,0.043859649122807015
breast_cancer,adaboost_samme_r,139,0.043859649122807015
breast_cancer,adaboost_samme_r,140,0.043859649122807015
breast_cancer,adaboost_samme_r,141,0.043859649122807015
breast_cancer,adaboost_samme_r,142,0.043859649122807015
