dataset,study,n_estimators,max_depth,test_accuracy,oob_accuracy
breast_cancer,n_estimators,1,,0.9210526315789473,0.9135802469135802
breast_cancer,n_estimators,2,,0.8771929824561403,0.9034749034749034
breast_cancer,n_estimators,3,,0.9385964912280702,0.8952095808383234
breast_cancer,n_estimators,4,,0.9473684210526315,0.9088541666666666
breast_cancer,n_estimators,5,,0.9473684210526315,0.9132530120481928
breast_cancer,n_estimators,6,,0.9473684210526315,0.9184149184149184
breast_cancer,n_estimators,7,,0.956140350877193,0.9225512528473804
breast_cancer,n_estimators,8,,0.956140350877193,0.9308035714285714
breast_cancer,n_estimators,9,,0.956140350877193,0.9444444444444444
breast_cancer,n_estimators,10,,0.9385964912280702,0.9579646017699115
breast_cancer,n_estimators,11,,0.9473684210526315,0.9558498896247241
breast_cancer,n_estimators,12,,0.9473684210526315,0.9514348785871964
breast_cancer,n_estimators,13,,0.9473684210526315,0.9514348785871964
breast_cancer,n_estimators,14,,0.9473684210526315,0.9493392070484582
breast_cancer,n_estimators,15,,0.9385964912280702,0.9427312775330396
breast_cancer,n_estimators,16,,0.9473684210526315,0.9472527472527472
breast_cancer,n_estimators,17,,0.9473684210526315,0.9472527472527472
breast_cancer,n_estimators,18,,0.9385964912280702,0.9538461538461539
breast_cancer,n_estimators,19,,0.9473684210526315,0.9516483516483516
breast_cancer,n_estimators,20,,0.9473684210526315,0.9560439560439561
breast_cancer,n_estimators,21,,0.9473684210526315,0.9604395604395605
breast_cancer,n_estimators,22,,0.9385964912280702,0.9582417582417583
breast_cancer,n_estimators,23,,0.9385964912280702,0.9604395604395605
breast_cancer,n_estimators,24,,0.9385964912280702,0.9604395604395605
breast_cancer,n_estimators,25,,0.9385964912280702,0.9560439560439561
breast_cancer,n_estimators,26,,0.9385964912280702,0.9560439560439561
breast_cancer,n_estimators,27,,0.9385964912280702,0.9582417582417583
breast_cancer,n_estimators,28,,0.9385964912280702,0.9582417582417583
breast_cancer,n_estimators,29,,0.9385964912280702,0.9582417582417583
breast_cancer,n_estimators,30,,0.9385964912280702,0.9582417582417583
breast_cancer,n_estimators,31,,0.9385964912280702,0.9582417582417583
breast_cancer,n_estimators,32,,0.9385964912280702,0.9582417582417583
breast_cancer,n_estimators,33,,0.9385964912280702,0.9582417582417583
breast_cancer,n_estimators,34,,0.9385964912280702,0.9560439560439561
breast_cancer,n_estimators,35,,0.9385964912280702,0.9560439560439561
breast_cancer,n_estimators,36,,0.9385964912280702,0.9560439560439561
breast_cancer,n_estimators,37,,0.9385964912280702,0.9582417582417583
breast_cancer,n_estimators,38,,0.9385964912280702,0.9560439560439561
breast_cancer,n_estimators,39,,0.9385964912280702,0.9560439560439561
breast_cancer,n_estimators,40,,0.9385964912280702,0.9560439560439561
breast_cancer,n_estimators,41,,0.9385964912280702,0.9538461538461539
breast_cancer,n_estimators,42,,0.9385964912280702,0.9538461538461539
breast_cancer,n_estimators,43,,0.9385964912280702,0.9560439560439561
breast_cancer,n_estimators,44,,0.9385964912280702,0.9560439560439561
breast_cancer,n_estimators,45,,0.9385964912280702,0.9582417582417583
breast_cancer,n_estimators,46,,0.9385964912280702,0.9582417582417583
breast_cancer,n_estimators,47,,0.9385964912280702,0.9582417582417583
breast_cancer,n_estimators,48,,0.9385964912280702,0.9604395604395605
breast_cancer,n_estimators,49,,0.9385964912280702,0.9604395604395605
breast_cancer,n_estimators,50,,0.9385964912280702,0.9626373626373627
breast_cancer,n_estimators,51,,0.9385964912280702,0.9604395604395605
breast_cancer,n_estimators,52,,0.9385964912280702,0.9604395604395605
breast_cancer,n_estimators,53,,0.9385964912280702,0.9582417582417583
breast_cancer,n_estimators,54,,0.9385964912280702,0.9582417582417583
breast_cancer,n_estimators,55,,0.9385964912280702,0.9604395604395605
breast_cancer,n_estimators,56,,0.9385964912280702,0.9604395604395605
breast_cancer,n_estimators,57,,0.9385964912280702,0.9604395604395605
breast_cancer,n_estimators,58,,0.9385964912280702,0.9582417582417583
breast_cancer,n_estimators,59,,0.9385964912280702,0.9582417582417583
breast_cancer,n_estimators,60,,0.9385964912280702,0.9582417582417583
breast_cancer,n_estimators,61,,0.9385964912280702,0.9560439560439561
breast_cancer,n_estimators,62,,0.9385964912280702,0.9560439560439561
breast_cancer,n_estimators,63,,0.9385964912280702,0.9560439560439561
breast_cancer,n_estimators,64,,0.9385964912280702,0.9560439560439561
breast_cancer,n_estimators,65,,0.9385964912280702,0.9560439560439561
breast_cancer,n_estimators,66,,0.9385964912280702,0.9560439560439561
breast_cancer,n_estimators,67,,0.9385964912280702,0.9560439560439561
breast_cancer,n_estimators,68,,0.9385964912280702,0.9538461538461539
breast_cancer,n_estimators,69,,0.9385964912280702,0.9582417582417583
breast_cancer,n_estimators,70,,0.9385964912280702,0.9582417582417583
breast_cancer,n_estimators,71,,0.9385964912280702,0.9582417582417583
breast_cancer,n_estimators,72,,0.9385964912280702,0.9582417582417583
breast_cancer,n_estimators,73,,0.9473684210526315,0.9582417582417583
breast_cancer,n_estimators,74,,0.9473684210526315,0.9560439560439561
breast_cancer,n_estimators,75,,0.9473684210526315,0.9560439560439561
breast_cancer,n_estimators,76,,0.9473684210526315,0.9560439560439561
breast_cancer,n_estimators,77,,0.9473684210526315,0.9560439560439561
breast_cancer,n_estimators,78,,0.9473684210526315,0.9560439560439561
breast_cancer,n_estimators,79,,0.9473684210526315,0.9538461538461539
breast_cancer,n_estimators,80,,0.9473684210526315,0.9538461538461539
breast_cancer,n_estimators,81,,0.9473684210526315,0.9538461538461539
breast_cancer,n_estimators,82,,0.9473684210526315,0.9560439560439561
breast_cancer,n_estimators,83,,0.9473684210526315,0.9538461538461539
breast_cancer,n_estimators,84,,0.9473684210526315,0.9582417582417583
breast_cancer,n_estimators,85,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,86,,0.956140350877193,0.9538461538461539
breast_cancer,n_estimators,87,,0.956140350877193,0.9538461538461539
breast_cancer,n_estimators,88,,0.956140350877193,0.9538461538461539
breast_cancer,n_estimators,89,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,90,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,91,,0.956140350877193,0.9538461538461539
breast_cancer,n_estimators,92,,0.956140350877193,0.9582417582417583
breast_cancer,n_estimators,93,,0.956140350877193,0.9582417582417583
breast_cancer,n_estimators,94,,0.956140350877193,0.9582417582417583
breast_cancer,n_estimators,95,,0.956140350877193,0.9582417582417583
breast_cancer,n_estimators,96,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,97,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,98,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,99,,0.956140350877193,0.9582417582417583
breast_cancer,n_estimators,100,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,101,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,102,,0.956140350877193,0.9582417582417583
breast_cancer,n_estimators,103,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,104,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,105,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,106,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,107,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,108,,0.956140350877193,0.9582417582417583
breast_cancer,n_estimators,109,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,110,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,111,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,112,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,113,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,114,,0.956140350877193,0.9538461538461539
breast_cancer,n_estimators,115,,0.956140350877193,0.9538461538461539
breast_cancer,n_estimators,116,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,117,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,118,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,119,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,120,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,121,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,122,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,123,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,124,,0.956140350877193,0.9582417582417583
breast_cancer,n_estimators,125,,0.956140350877193,0.9582417582417583
breast_cancer,n_estimators,126,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,127,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,128,,0.956140350877193,0.9582417582417583
breast_cancer,n_estimators,129,,0.956140350877193,0.9582417582417583
breast_cancer,n_estimators,130,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,131,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,132,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,133,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,134,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,135,,0.956140350877193,0.9538461538461539
breast_cancer,n_estimators,136,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,137,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,138,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,139,,0.956140350877193,0.9582417582417583
breast_cancer,n_estimators,140,,0.956140350877193,0.9582417582417583
breast_cancer,n_estimators,141,,0.956140350877193,0.9582417582417583
breast_cancer,n_estimators,142,,0.956140350877193,0.9582417582417583
breast_cancer,n_estimators,143,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,144,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,145,,0.956140350877193,0.9582417582417583
breast_cancer,n_estimators,146,,0.956140350877193,0.9582417582417583
breast_cancer,n_estimators,147,,0.956140350877193,0.9582417582417583
breast_cancer,n_estimators,148,,0.956140350877193,0.9582417582417583
breast_cancer,n_estimators,149,,0.956140350877193,0.9582417582417583
breast_cancer,n_estimators,150,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,151,,0.956140350877193,0.9538461538461539
breast_cancer,n_estimators,152,,0.956140350877193,0.9538461538461539
breast_cancer,n_estimators,153,,0.956140350877193,0.9538461538461539
breast_cancer,n_estimators,154,,0.956140350877193,0.9538461538461539
breast_cancer,n_estimators,155,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,156,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,157,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,158,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,159,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,160,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,161,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,162,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,163,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,164,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,165,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,166,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,167,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,168,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,169,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,170,,0.956140350877193,0.9538461538461539
breast_cancer,n_estimators,171,,0.956140350877193,0.9538461538461539
breast_cancer,n_estimators,172,,0.956140350877193,0.9538461538461539
breast_cancer,n_estimators,173,,0.956140350877193,0.9538461538461539
breast_cancer,n_estimators,174,,0.956140350877193,0.9538461538461539
breast_cancer,n_estimators,175,,0.956140350877193,0.9538461538461539
breast_cancer,n_estimators,176,,0.956140350877193,0.9538461538461539
breast_cancer,n_estimators,177,,0.956140350877193,0.9538461538461539
breast_cancer,n_estimators,178,,0.956140350877193,0.9538461538461539
breast_cancer,n_estimators,179,,0.956140350877193,0.9538461538461539
breast_cancer,n_estimators,180,,0.956140350877193,0.9538461538461539
breast_cancer,n_estimators,181,,0.956140350877193,0.9538461538461539
breast_cancer,n_estimators,182,,0.956140350877193,0.9538461538461539
breast_cancer,n_estimators,183,,0.956140350877193,0.9538461538461539
breast_cancer,n_estimators,184,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,185,,0.956140350877193,0.9538461538461539
breast_cancer,n_estimators,186,,0.956140350877193,0.9538461538461539
breast_cancer,n_estimators,187,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,188,,0.956140350877193,0.9582417582417583
breast_cancer,n_estimators,189,,0.956140350877193,0.9582417582417583
breast_cancer,n_estimators,190,,0.956140350877193,0.9582417582417583
breast_cancer,n_estimators,191,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,192,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,193,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,194,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,195,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,196,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,197,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,198,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,199,,0.956140350877193,0.9560439560439561
breast_cancer,n_estimators,200,,0.956140350877193,0.9582417582417583
breast_cancer,max_depth,100,1.0,0.9298245614035088,
breast_cancer,max_depth,100,2.0,0.9473684210526315,
breast_cancer,max_depth,100,3.0,0.956140350877193,
breast_cancer,max_depth,100,4.0,0.9473684210526315,
breast_cancer,max_depth,100,5.0,0.956140350877193,
breast_cancer,max_depth,100,6.0,0.956140350877193,
breast_cancer,max_depth,100,7.0,0.956140350877193,
breast_cancer,max_depth,100,8.0,0.956140350877193,
breast_cancer,max_depth,100,9.0,0.956140350877193,
breast_cancer,max_depth,100,10.0,0.956140350877193,
breast_cancer,max_depth,100,11.0,0.956140350877193,
breast_cancer,max_depth,100,12.0,0.956140350877193,
breast_cancer,max_depth,100,13.0,0.956140350877193,
breast_cancer,max_depth,100,14.0,0.956140350877193,
breast_cancer,max_depth,100,15.0,0.956140350877193,
breast_cancer,max_depth,100,16.0,0.956140350877193,
breast_cancer,max_depth,100,17.0,0.956140350877193,
breast_cancer,max_depth,100,18.0,0.956140350877193,
breast_cancer,max_depth,100,19.0,0.956140350877193,
breast_cancer,max_depth,100,20.0,0.956140350877193,
adult,n_estimators,1,12.0,0.8333333333333334,0.8131743327654741
adult,n_estimators,2,12.0,0.8208333333333333,0.8193103448275862
adult,n_estimators,3,12.0,0.8433333333333334,0.8187361419068736
adult,n_estimators,4,12.0,0.8475,0.8173504695996046
adult,n_estimators,5,12.0,0.8433333333333334,0.8213789912077741
adult,n_estimators,6,12.0,0.8466666666666667,0.8237386085796844
adult,n_estimators,7,12.0,0.8483333333333334,0.8231852654387866
adult,n_estimators,8,12.0,0.845,0.8214667521915758
adult,n_estimators,9,12.0,0.8483333333333334,0.8274476633537746
adult,n_estimators,10,12.0,0.8483333333333334,0.8258675078864354
adult,n_estimators,11,12.0,0.8525,0.8282002933165724
adult,n_estimators,12,12.0,0.8483333333333334,0.8307210031347962
adult,n_estimators,13,12.0,0.85,0.8291918980998121
adult,n_estimators,14,12.0,0.845,0.8328115216030056
adult,n_estimators,15,12.0,0.8458333333333333,0.8331595411887383
adult,n_estimators,16,12.0,0.8466666666666667,0.8327773144286906
adult,n_estimators,17,12.0,0.8483333333333334,0.8338198498748958
adult,n_estimators,18,12.0,0.8475,0.8334028356964137
adult,n_estimators,19,12.0,0.85,0.8330554397665694
adult,n_estimators,20,12.0,0.8466666666666667,0.8313880783659858
adult,n_estimators,21,12.0,0.8483333333333334,0.8330554397665694
adult,n_estimators,22,12.0,0.8483333333333334,0.8318049187161317
adult,n_estimators,23,12.0,0.85,0.8303813294436341
adult,n_estimators,24,12.0,0.8491666666666666,0.8347916666666667
adult,n_estimators,25,12.0,0.8458333333333333,0.835625
adult,n_estimators,26,12.0,0.8466666666666667,0.834375
adult,n_estimators,27,12.0,0.845,0.8322916666666667
adult,n_estimators,28,12.0,0.845,0.8333333333333334
adult,n_estimators,29,12.0,0.8441666666666666,0.8341666666666666
adult,n_estimators,30,12.0,0.8458333333333333,0.8341666666666666
adult,n_estimators,31,12.0,0.8475,0.83375
adult,n_estimators,32,12.0,0.8441666666666666,0.8347916666666667
adult,n_estimators,33,12.0,0.845,0.8352083333333333
adult,n_estimators,34,12.0,0.845,0.83625
adult,n_estimators,35,12.0,0.8441666666666666,0.83625
adult,n_estimators,36,12.0,0.845,0.8358333333333333
adult,n_estimators,37,12.0,0.8433333333333334,0.8360416666666667
adult,n_estimators,38,12.0,0.8425,0.8347916666666667
adult,n_estimators,39,12.0,0.8433333333333334,0.8333333333333334
adult,n_estimators,40,12.0,0.8433333333333334,0.8339583333333334
adult,n_estimators,41,12.0,0.8433333333333334,0.834375
adult,n_estimators,42,12.0,0.8425,0.8352083333333333
adult,n_estimators,43,12.0,0.8416666666666667,0.835
adult,n_estimators,44,12.0,0.8408333333333333,0.8352083333333333
adult,n_estimators,45,12.0,0.8416666666666667,0.835
adult,n_estimators,46,12.0,0.8416666666666667,0.8360416666666667
adult,n_estimators,47,12.0,0.8425,0.8377083333333334
adult,n_estimators,48,12.0,0.8425,0.83875
adult,n_estimators,49,12.0,0.8408333333333333,0.838125
adult,n_estimators,50,12.0,0.8416666666666667,0.836875
